RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE
136;NOUVELLE-ZELANDE;WELLINGTON;119;41S;175E;12,00 ;1224;15,4;7,8;-7,6
137;OMAN;MASCATE;3;13N;45E;4,00 ;99;22,2;33,3;11,1
138;OUGANDA;KAMPALA;1146;0;32E;3,00 ;1125;22,2;20;-2,2
139;PACIFIQUE;SAIPAN;66;15N;143E;12,00 ;2200;26;26;0
140;PAKISTAN;ISLAMABAD;508;34N;73E;4,00 ;900;10;32;22
141;PANAMA;PANAMA;2;8N;80W;-5,00 ;1770;26,1;27,2;1,1
142;PAPOUASIE;PORT MORESBY;70;5S;145E;10,00 ;1150;27,6;25,8;-1,8
143;PARAGUAY;ASUNCION;64;25S;58W;-4,00 ;1340;28,8;18,2;-10,6
144;PAYS-BAS;LA HAYE;0;57N;4E;0,00 ;766;1,7;17;15,3
145;PEROU;LIMA;155;12S;77W;-5,00 ;36;21,5;15,3;-6,2
146;PHILIPPINES;MANILLE;15;15N;121E;-5,00 ;1791;25,4;27,9;2,5
147;PITCAIRN;ADAMSTOWN;5;25S;130W;-7,30 ;2656;23,1;18,1;-5
148;POLOGNE;VARSOVIE;107;52N;21E;1,00 ;471;-2,4;18,7;21,1
149;POLYNESIE FRANCAISE;PAPEETE;2;18S;150W;-10,00 ;1800;26;24,1;-1,9
150;PORTO RICO;SAN JUAN;19;18N;66W;-4,00 ;1631;23,6;26,9;3,3
151;PORTUGAL;LISBONNE;110;39N;9W;0,00 ;708;10,8;22,2;11,4
152;QATAR;DOHA;10;25N;51E;4,00 ;62;16,7;36,7;20
153;REUNION;ST-DENIS;11;17N;55E;4,00 ;1526;26;20,7;-5,3
154;ROUMANIE;BUCAREST;82;44N;26E;2,00 ;578;-2,7;23,3;26
155;ROYAUME-UNI;LONDRES;45;52N;0;0,00 ;597;3;16,3;13,3
156;RWANDA;KIGALI;1465;2S;30E;2,00 ;988;19,4;21,1;1,7
157;SAINT-MARIN;SAINT-MARIN;738;44N;12E;1,00 ;650;21;26,5;5,5
158;SAINT-VINCENT;KINGSTOWN;5;12N;61W;-5,00 ;1500;26,7;26,7;0
159;SAINTE-HELENE;JAMESTOWN;5;16S;8W;0,00 ;875;2;21;19
160;SAINTE-LUCIE;CASTRIES;2;14N;61W;-5,00 ;1500;22;28;6
161;SALOMON;HONIARA;2;10S;155E;11,00 ;3023;28;27;-1
162;SALVADOR;SAN SALVADOR;689;14N;89W;-6,00 ;1775;22,1;23;0,9
163;SAMOA;PAGO-PAGO;2;15S;171W;-11,00 ;2845;27;26;-1
164;SAMOA OCCIDENTALES;APIA;2;12S;172W;-11,00 ;2928;28,4;28,7;0,3
165;SAO TOME-ET-PRINCIPE;SAO TOME;5;0;7E;0,00 ;3000;27;25;-2
166;SENEGAL;DAKAR;23;15N;18W;0,00 ;578;21,1;27,3;6,2
167;SEYCHELLES;PORT VICTORIA;2;5S;55E;3,00 ;2203;27,3;25,9;-1,4
168;SIERRA LEONE;FREETOWN;8;8N;13W;0,00 ;3015;24;29;5
169;SINGAPOUR;SINGAPOUR;10;1N;104E;7,30 ;2282;26,1;27,4;1,3
170;SOMALIE;MOGADISCIO;10;2N;45E;3,00 ;422;26,5;26;-0,5
171;SOUDAN;KHARTOUM;380;16N;33E;2,00 ;164;22,5;30,8;8,3
172;SRI LANKA;COLOMBO;6;7N;80E;5,30 ;2397;26,2;27,1;0,9
173;ST-KITTS-ET-NEVIS;BASSETERRE;52;17N;63W;-5,00 ;1375;23;27;4
174;ST-PIERRE-ET-MIQUELON;ST-PIERRE;2;47N;56W;-4,00 ;1328;-2;16;18
175;SUEDE;STOCKHOLM;11;59N;18E;1,00 ;555;-2,9;17,8;20,7
176;SUISSE;BERNE;569;47N;9E;1,00 ;986;0;18,5;18,5
177;SURINAME;PARAMARIBO;4;6N;55W;-3,30 ;1978;26,4;27,1;0,7
178;SWAZILAND;MBABANE;641;26S;32E;2,00 ;1402;20;12,2;-7,8
179;SYRIE;DAMAS;729;33N;36E;2,00 ;234;7,7;27,2;19,5
180;TANZANIE;DAR-ES-SALAM;58;7S;39E;3,00 ;1043;27,3;23,3;-4
181;TCHAD;N'DJAMENA;295;12N;15E;1,00 ;646;23,5;27,5;4
182;TCHECOSLOVAQUIE;PRAGUE;374;50N;14E;1,00 ;508;-2,6;17,9;20,5
183;THAILANDE;BANGKOK;12;14N;101E;7,00 ;1492;26,1;28,4;2,3
184;TOGO;LOME;22;6N;1E;0,00 ;893;26,8;24,6;-2,2
185;TOKELAU;NUKUNONU;2;9S;171W;-11,00 ;3150;28;27;-1
186;TONGA;NUKU ALOFA;67;20S;175W;-11,00 ;2900;32,2;32,2;0
187;TRINITE-ET-TOBAGO;PORT OF SPAIN;14;11N;61W;-5,00 ;1631;25,6;26,1;0,5
188;TUNISIE;TUNIS;4;37N;10E;0,00 ;466;11;25,9;14,9
189;TURKS-CAICOS;COCKBURN TOWN;2;22N;71W;-5,00 ;783;24;28;4
190;TURQUIE;ANKARA;894;40N;33E;2,00 ;362;-0,2;23,3;23,5
191;TUVALU;FUNAFUTI;3;8S;180;12,00 ;4003;28,9;27,2;-1,7
192;U.R.S.S.;MOSCOU;156;56N;38E;3,00 ;575;-9,9;19;28,9
193;URUGUAY;MONTEVIDEO;22;35S;56W;-3,00 ;1175;22,5;10,5;-12
194;VANUATU;VILA;2;17S;167E;11,00 ;2103;26,7;22,2;-4,5
195;VATICAN;CITE DU VATICAN;50;42N;12E;1,00 ;749;8;24,4;16,4
196;VENEZUELA;CARACAS;865;11N;67W;-4,00 ;854;19,6;21;1,4
197;VIETNAM;HANOI;17;26N;106E;7,00 ;1830;26,6;28,9;2,3
198;WALLIS-ET-FUTUNA;MATA-UTU;2;14S;177W;12,00 ;1168;28;24;-4
199;YEMEN;SANAA;2242;15N;44W;3,00 ;45;27;34;7
200;YOUGOSLAVIE;BELGRADE;132;45N;20E;1,00 ;701;-0,2;22,6;22,8
201;ZAIRE;KINSHASA;309;4S;15E;1,00 ;1371;25,6;21,7;-3,9
202;ZAMBIE;LUSAKA;1277;15S;29E;2,00 ;836;21,1;16,1;-5
203;ZIMBABWE;HARARE;1479;18S;31E;2,00 ;863;20;13,6;-6,4
;;;;  ; ;;;;;
